time_s,reference_signal_v
0.0000,0.0000000
0.0100,0.0000000
0.0200,0.0000000
0.0300,0.0000000
0.0400,0.0000000
0.0500,0.0000000
0.0600,0.0000000
0.0700,0.0000000
0.0800,0.0000000
0.0900,0.0000000
0.1000,0.0000000
0.1100,0.0000000
0.1200,0.0000000
0.1300,0.0000000
0.1400,0.0000000
0.1500,0.0000000
0.1600,0.0000000
0.1700,0.0000000
0.1800,0.0000000
0.1900,0.0000000
0.2000,0.0000000
0.2100,0.0000000
0.2200,0.0000000
0.2300,0.0000000
0.2400,0.0000000
0.2500,0.0000000
0.2600,0.0000000
0.2700,0.0000000
0.2800,0.0000000
0.2900,0.0000000
0.3000,0.0000000
0.3100,0.0000000
0.3200,0.0000000
0.3300,0.0000000
0.3400,0.0000000
0.3500,0.0000000
0.3600,0.0000000
0.3700,0.0000000
0.3800,0.0000000
0.3900,0.0000000
0.4000,0.0000000
0.4100,0.0000000
0.4200,0.0000000
0.4300,0.0000000
0.4400,0.0000000
0.4500,0.0000000
0.4600,0.0000000
0.4700,0.0000000
0.4800,0.0000000
0.4900,0.0000000
0.5000,0.0000000
0.5100,0.0000000
0.5200,0.0000000
0.5300,0.0000000
0.5400,0.0000000
0.5500,0.0000000
0.5600,0.0000000
0.5700,0.0000000
0.5800,0.0000000
0.5900,0.0000000
0.6000,0.0000000
0.6100,0.0002384
0.6200,0.0009472
0.6300,0.0021168
0.6400,0.0037376
0.6500,0.0058000
0.6600,0.0082944
0.6700,0.0112112
0.6800,0.0145408
0.6900,0.0182736
0.7000,0.0224000
0.7100,0.0269104
0.7200,0.0317952
0.7300,0.0370448
0.7400,0.0426496
0.7500,0.0486000
0.7600,0.0548864
0.7700,0.0614992
0.7800,0.0684288
0.7900,0.0756656
0.8000,0.0832000
0.8100,0.0910224
0.8200,0.0991232
0.8300,0.1074928
0.8400,0.1161216
0.8500,0.1250000
0.8600,0.1341184
0.8700,0.1434672
0.8800,0.1530368
0.8900,0.1628176
0.9000,0.1728000
0.9100,0.1829744
0.9200,0.1933312
0.9300,0.2038608
0.9400,0.2145536
0.9500,0.2254000
0.9600,0.2363904
0.9700,0.2475152
0.9800,0.2587648
0.9900,0.2701296
1.0000,0.2816000
1.0100,0.2931664
1.0200,0.3048192
1.0300,0.3165488
1.0400,0.3283456
1.0500,0.3402000
1.0600,0.3521024
1.0700,0.3640432
1.0800,0.3760128
1.0900,0.3880016
1.1000,0.4000000
1.1100,0.4119984
1.1200,0.4239872
1.1300,0.4359568
1.1400,0.4478976
1.1500,0.4598000
1.1600,0.4716544
1.1700,0.4834512
1.1800,0.4951808
1.1900,0.5068336
1.2000,0.5184000
1.2100,0.5298704
1.2200,0.5412352
1.2300,0.5524848
1.2400,0.5636096
1.2500,0.5746000
1.2600,0.5854464
1.2700,0.5961392
1.2800,0.6066688
1.2900,0.6170256
1.3000,0.6272000
1.3100,0.6371824
1.3200,0.6469632
1.3300,0.6565328
1.3400,0.6658816
1.3500,0.6750000
1.3600,0.6838784
1.3700,0.6925072
1.3800,0.7008768
1.3900,0.7089776
1.4000,0.7168000
1.4100,0.7243344
1.4200,0.7315712
1.4300,0.7385008
1.4400,0.7451136
1.4500,0.7514000
1.4600,0.7573504
1.4700,0.7629552
1.4800,0.7682048
1.4900,0.7730896
1.5000,0.7776000
1.5100,0.7817264
1.5200,0.7854592
1.5300,0.7887888
1.5400,0.7917056
1.5500,0.7942000
1.5600,0.7962624
1.5700,0.7978832
1.5800,0.7990528
1.5900,0.7997616
1.6000,0.8000000
1.6100,0.8026137
1.6200,0.8051639
1.6300,0.8076320
1.6400,0.8100003
1.6500,0.8122521
1.6600,0.8143718
1.6700,0.8163453
1.6800,0.8181598
1.6900,0.8198037
1.7000,0.8212672
1.7100,0.8225420
1.7200,0.8236212
1.7300,0.8244999
1.7400,0.8251745
1.7500,0.8256431
1.7600,0.8259056
1.7700,0.8259633
1.7800,0.8258192
1.7900,0.8254777
1.8000,0.8249446
1.8100,0.8242274
1.8200,0.8233346
1.8300,0.8222760
1.8400,0.8210625
1.8500,0.8197061
1.8600,0.8182197
1.8700,0.8166168
1.8800,0.8149119
1.8900,0.8131197
1.9000,0.8112557
1.9100,0.8093354
1.9200,0.8073746
1.9300,0.8053891
1.9400,0.8033948
1.9500,0.8014072
1.9600,0.7994415
1.9700,0.7975126
1.9800,0.7956349
1.9900,0.7938220
2.0000,0.7920868
2.0100,0.7904416
2.0200,0.7888975
2.0300,0.7874648
2.0400,0.7861528
2.0500,0.7849696
2.0600,0.7839223
2.0700,0.7830167
2.0800,0.7822575
2.0900,0.7816481
2.1000,0.7811907
2.1100,0.7808865
2.1200,0.7807352
2.1300,0.7807354
2.1400,0.7808847
2.1500,0.7811795
2.1600,0.7816150
2.1700,0.7821855
2.1800,0.7828845
2.1900,0.7837043
2.2000,0.7846367
2.2100,0.7856725
2.2200,0.7868021
2.2300,0.7880151
2.2400,0.7893008
2.2500,0.7906480
2.2600,0.7920454
2.2700,0.7934811
2.2800,0.7949436
2.2900,0.7964211
2.3000,0.7979018
2.3100,0.7993743
2.3200,0.8008272
2.3300,0.8022498
2.3400,0.8036314
2.3500,0.8049621
2.3600,0.8062325
